eid,eff_doi,title,source,doctype,mechanism_family,study_type,performance_reported,decision,pass2_note
2-s2.0-85144608384,10.3390/buildings12112026,Dynamic Concentrated Solar Building Skin Design Based on Multiobjective Optimization,Buildings,Article,mechanical,experiment,multiple,include,
2-s2.0-85133182630,10.1002/cpe.7152,Adaptive façade for building energy efficiency improvement by arithmetical optimization algorithm,Concurrency and Computation Practice and Experience,Article,unclear,simulation,energy,include,
2-s2.0-85133409780,10.1016/j.tws.2022.109626,Buckling shape control in metal plates via material distribution,Thin Walled Structures,Article,compliant,experiment,none,include,
2-s2.0-85142533892,10.1007/978-3-031-13249-0_31,Morphology of kinetic asymptotic grids,Towards Radical Regeneration Design Modelling Symposium Berlin 2022,Book Chapter,compliant,experiment,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85196944411,10.1007/978-3-031-13249-0_20,ADAPTEX: Physical and digital prototyping of smart textile sun shading,Towards Radical Regeneration Design Modelling Symposium Berlin 2022,Book Chapter,material-driven,experiment,energy,include,
2-s2.0-85139220297,10.3389/fbuil.2022.1006300,"Tectonics of kinetic architecture: Moving envelope, changing space and the shades of the shed",Frontiers in Built Environment,Article,mechanical,theoretical,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85123505986,10.1177/1045389x211072202,Modeling and design optimization of shape memory alloy-enabled building skins for adaptive ventilation,Journal of Intelligent Material Systems and Structures,Article,material-driven,experiment,none,include,
2-s2.0-85135903937,10.1016/j.renene.2022.07.073,Efficient heating of buildings by passive solar energy utilizing an innovative dynamic building envelope incorporating phase change material,Renewable Energy,Article,mechanical,experiment,energy,include,
2-s2.0-85134547337,10.1002/advs.202202740,A Highly Multi-Stable Meta-Structure via Anisotropy for Large and Reversible Shape Transformation,Advanced Science,Article,pneumatic-soft,unclear,none,include,
2-s2.0-85138272822,10.3389/fbuil.2022.995710,Equilibrium path and stability analysis of rigid origami using energy minimization of frame model,Frontiers in Built Environment,Article,origami-deployable,simulation,energy,include,
2-s2.0-85129685137,10.1016/j.jobe.2022.104408,Kinetic facades: An evolutionary-based performance evaluation framework,Journal of Building Engineering,Article,unclear,experiment,multiple,include,
2-s2.0-85123351704,10.1016/j.seta.2021.101894,Thermal and energy performance of a user-responsive microalgae bioreactive façade for climate adaptability,Sustainable Energy Technologies and Assessments,Article,unclear,experiment,multiple,include,
2-s2.0-85133358937,10.3389/fbuil.2022.814911,D1244: Design and Construction of the First Adaptive High-Rise Experimental Building,Frontiers in Built Environment,Article,unclear,experiment,none,include,
2-s2.0-85132117289,10.15627/jd.2022.2,Development of Two-Step Biomimetic Design and Evaluation Framework for Performance-Oriented Design of Multi-Functional Adaptable Building Envelopes,Journal of Daylighting,Article,unclear,unclear,energy,include,
2-s2.0-85132150541,10.3390/app12125853,Architectural Experiment Design of Solar Energy Harvesting: A Kinetic Façade System for Educational Facilities,Applied Sciences Switzerland,Article,mechanical,experiment,energy,include,
2-s2.0-85126597439,10.1016/j.enbuild.2022.112019,Analysis of dynamic louver control with prism redirecting fenestrations for office daylighting optimization,Energy and Buildings,Article,mechanical,experiment,multiple,include,
2-s2.0-85141817744,10.1115/1.4054775,A Comparative Energy Analysis of Dynamic External Shadings for Office Buildings,Journal of Engineering for Sustainable Buildings and Cities,Article,mechanical,unclear,energy,include,
2-s2.0-85123267436,10.1016/j.jobe.2021.103942,Shape-programmable fluid bubbles for responsive building skins,Journal of Building Engineering,Article,unclear,experiment,energy,include,
2-s2.0-85116884931,10.1177/1420326x211050114,Solar radiation control passive strategy for reduction of heating and cooling energy use in arid climate: Case of Afghanistan,Indoor and Built Environment,Article,unclear,simulation,energy,include,
2-s2.0-85124423553,10.1007/s40940-022-00166-0,Experimental and numerical characterization of twisting response of thin glass,Glass Structures and Engineering,Article,unclear,experiment,none,include,
2-s2.0-85127589156,10.3390/su14073910,Optimization of Architectural Thermal Envelope Parameters in Modern Single-Family House Typologies in Southeastern Spain to Improve Energy Efficiency in a Dry Mediterranean Climate,Sustainability Switzerland,Article,unclear,simulation,energy,include,
2-s2.0-85127315495,10.1088/1755-1315/992/1/012004,Studying the influence of shading devices on indoor thermal comfort in desert and Mediterranean climates,Iop Conference Series Earth and Environmental Science,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-85125500008,10.1088/1361-665x/ac5014,Bistable kinetic shades actuated with shape memory alloys: Prototype development and daylight performance evaluation,Smart Materials and Structures,Article,material-driven,experiment,multiple,include,
2-s2.0-85116068103,10.1177/17442591211045418,Adaptive opaque façades and their potential to reduce thermal energy use in residential buildings: A simulation-based evaluation,Journal of Building Physics,Article,unclear,simulation,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85125362703,10.3390/buildings12030263,Indoor Daylight Performances of Optimized Transmittances with Electrochromic-Applied Kinetic Louvers,Buildings,Article,mechanical,simulation,multiple,include,
2-s2.0-85151952400,10.1007/978-3-030-90625-2_8,Deriving the production rules of shape-shifting grammars for adaptive façades: The case of hygromorphic thermo-bimetal composites (HMTM),Design Computing and Cognition 20,Book Chapter,material-driven,experiment,none,include,
2-s2.0-85123597602,10.3390/app12031496,New Use of BIM-Origami-Based Techniques for Energy Optimisation of Buildings,Applied Sciences Switzerland,Article,origami-deployable,simulation,energy,include,
2-s2.0-85120481344,10.1016/j.enbuild.2021.111679,Passive house renovation of a block of flats – Measured performance and energy signature analysis,Energy and Buildings,Article,origami-deployable,experiment,energy,include,
2-s2.0-85161109782,10.1007/978-3-031-09695-2_7,Energy Performance Analysis of Kinetic Façades by Climate Zones,Advanced Materials in Smart Building Skins for Sustainability from Nano to Macroscale,Book Chapter,origami-deployable,simulation,energy,include,
2-s2.0-85087517310,10.1080/17508975.2020.1765722,Towards an implementation of bio-inspired hydro-actuated building façade,Intelligent Buildings International,Article,unclear,unclear,energy,include,
2-s2.0-85143213658,10.1088/1755-1315/1099/1/012005,Bio-mimetic Approaches to Kinetic Facades: A Design Proposal for a Light-Responsive Facade Module.,Iop Conference Series Earth and Environmental Science,Conference Paper,material-driven,unclear,multiple,include,
2-s2.0-85108286145,10.1080/17452007.2021.1941739,Hybrid kinetic facade: fabrication and feasibility evaluation of full-scale prototypes,Architectural Engineering and Design Management,Article,mechanical,experiment,none,include,
2-s2.0-85140846809,10.1080/23744731.2022.2122675,"Design, fabrication and computational simulation of a bio-kinetic façade inspired by the mechanism of the Lupinus Succulentus plant for daylight and energy efficiency",Science and Technology for the Built Environment,Article,unclear,experiment,multiple,include,
2-s2.0-85142423638,10.1109/cw55638.2022.00011,Kinetic Façade Design with Eshelby Twist for Sunlight Exposure Reduction,Proceedings 2022 International Conference on Cyberworlds Cw 2022,Conference Paper,unclear,simulation,energy,include,
2-s2.0-85128612826,10.1007/978-3-031-03918-8_20,Evaluating Adaptive Facade Performance in Early Building Design Stage: An Integrated Daylighting Simulation and Machine Learning,Lecture Notes on Data Engineering and Communications Technologies,Book Chapter,unclear,simulation,multiple,include,
2-s2.0-85169066096,10.52842/conf.caadria.2022.1.151,REINFORCEMENT LEARNING-BASED GENERATIVE DESIGN METHODOLOGY FOR KINETIC FACADE,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia,Conference Paper,unclear,simulation,multiple,include,
2-s2.0-85142899109,10.47982/jfde.2022.1.03,Exploring the Impact of Geometry and Fibre Arrangements on Daylight Control in Bistable Kinetic Shades,Journal of Facade Design and Engineering,Article,compliant,experiment,daylight,include,
2-s2.0-85142865625,10.2749/nanjing.2022.1046,Moveable Facade Elements for Sustainable High-rise Buildings,IABSE Congress Nanjing 2022 Bridges and Structures Connection Integration and Harmonisation Report,Conference Paper,mechanical,experiment,energy,include,
2-s2.0-85130971086,10.1007/978-981-19-1812-4_12,Pho’liage: Towards a Kinetic Biomimetic Thermoregulating Façade,Environmental Footprints and Eco Design of Products and Processes,Book Chapter,material-driven,experiment,multiple,include,
2-s2.0-85136138152,10.14455/isec.2022.9(1).aae-08,THE APPLICATION OF AN ADAPTIVE SOFT STRUCTURE FOR LIGHTWEIGHT FACADES,Proceedings of International Structural Engineering and Construction,Conference Paper,pneumatic-soft,prototype,energy,include,
2-s2.0-85161252200,10.1007/978-3-031-09695-2_13,Design Research on Climate-Responsive Building Skins from Prototype and Case Study Perspectives,Advanced Materials in Smart Building Skins for Sustainability from Nano to Macroscale,Book Chapter,mechanical,experiment,energy,include,
2-s2.0-85151557435,10.26868/25222708.2021.30754,Occupant-centric control of transparent dynamic façades through an integrated co-simulation framework,Building Simulation Conference Proceedings,Conference Paper,mechanical,simulation,multiple,include,
2-s2.0-85140771269,10.1109/etsaide53569.2022.9906380,Intelligent Façade Skinning System Based on Crowd-Sensing and Air-Quality Monitoring,2022 Engineering and Technology for Sustainable Architectural and Interior Design Environments Etsaide 2022,Conference Paper,unclear,unclear,none,include,
2-s2.0-85132073479,10.14627/537724064,Hybrid Landscapes of India: Communicators Between the Worlds,Journal of Digital Landscape Architecture,Article,mechanical,unclear,none,include,
2-s2.0-85161184874,10.1007/978-3-031-09695-2_12,Aesthetics and Perception: Dynamic Facade Design with Programmable Materials,Advanced Materials in Smart Building Skins for Sustainability from Nano to Macroscale,Book Chapter,material-driven,experiment,energy,include,
2-s2.0-85161246225,10.1007/978-3-031-09695-2_4,Material Programming for Bio-inspired and Bio-based Hygromorphic Building Envelopes,Advanced Materials in Smart Building Skins for Sustainability from Nano to Macroscale,Book Chapter,material-driven,experiment,multiple,include,
2-s2.0-85132177960,10.1117/12.2612851,Kinetic Bistable Flaps Actuated with Magneto-Active Elastomers,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,compliant,experiment,energy,include,
2-s2.0-85125244497,10.1080/13467581.2021.2007102,Harvesting renewable energies through innovative kinetic honeycomb architectural facades: the mathematical & CFD modeling for wind turbine design optimization,Journal of Asian Architecture and Building Engineering,Article,unclear,simulation,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85131431101,10.37575/b/sci/210082,Assessing the Effect of Building Skin Adaptability on Energy Consumption in Hot Arid Regions,Scientific Journal of King Faisal University Basic and Applied Sciences,Article,origami-deployable,experiment,multiple,include,
2-s2.0-85140440872,10.1007/978-3-031-16895-6_9,Kinetic Architecture and BIM: The State of Art and Future Visions,Communications in Computer and Information Science,Conference Paper,unclear,simulation,none,include,
2-s2.0-85128968605,10.1007/978-3-030-96486-3_7,An IoT-Based Framework of Indoor Air Quality Monitoring for Climate Adaptive Building Shells,Internet of Things,Book Chapter,unclear,experiment,multiple,include,
2-s2.0-85137052208,10.15627/jd.2022.11,The optimization of louvers shading devices and room orientation under three different sky conditions,Journal of Daylighting,Article,mechanical,simulation,multiple,include,
2-s2.0-85144651522,10.1007/978-3-031-11232-4_5,Hygromorphs: Exploring Morphologies of Architectural Adaptive Systems Using Hygroscopic Properties of Wood,Advances in Science Technology and Innovation,Book Chapter,material-driven,experiment,multiple,include,
2-s2.0-85121698940,10.3390/app12010082,"Kinetic solar envelope: Performance assessment of a shape memory alloy-based autoreactive façade system for urban heat island mitigation in athens, Greece",Applied Sciences Switzerland,Article,material-driven,simulation,energy,include,
2-s2.0-85112425762,10.1016/j.foar.2021.07.004,Bio-inspired interactive kinetic façade: Using dynamic transitory-sensitive area to improve multiple occupants’ visual comfort,Frontiers of Architectural Research,Article,unclear,simulation,multiple,include,
2-s2.0-85121628743,10.3390/buildings11120637,"Optimization of useful daylight illuminance for vertical shading fins covered by photovoltaic panels for a case study of an office room in the city of Wroclaw, Poland",Buildings,Article,mechanical,simulation,multiple,include,
2-s2.0-85114441240,10.1061/(asce)ae.1943-5568.0000504,Taxonomical Investigation of Self-Sufficient Kinetic Building Envelopes,Journal of Architectural Engineering,Article,unclear,unclear,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85136643589,10.18280/ijdne.160601,Adjustable Internal Shading for Home Office Daylighting in Tropical Climates,International Journal of Design and Nature and Ecodynamics,Article,unclear,experiment,multiple,include,
2-s2.0-85122617272,10.18280/ijdne.160601,Adjustable Internal Shading for Home Office Daylighting in Tropical Climates,International Journal of Design and Nature and Ecodynamics,Article,unclear,experiment,multiple,include,
2-s2.0-85122673961,10.1016/j.jobe.2021.103076,"Prototyping of 4D-printed self-shaping building skin in architecture: Design, fabrication, and investigation of a two-way shape memory composite (TWSMC) façade panel",Journal of Building Engineering,Article,material-driven,experiment,energy,include,
2-s2.0-85118508179,10.3390/polym13213767,Mono–material 4d printing of digital shape–memory components,Polymers,Article,material-driven,experiment,energy,include,
2-s2.0-85110071920,10.1108/ohi-02-2021-0028,4D printing of wooden actuators: encoding FDM wooden filaments for architectural responsive skins,Open House International,Article,material-driven,experiment,energy,include,
2-s2.0-85108005602,10.1016/j.energy.2021.121165,Energy performance of integrated adaptive envelope systems for residential buildings,Energy,Article,origami-deployable,unclear,energy,include,
2-s2.0-85107643069,10.1016/j.enbuild.2021.111138,Movable window insulation as an instantiation of the adaptive building envelope: An investigation of its cost-effectiveness in the U.S,Energy and Buildings,Article,unclear,simulation,energy,include,
2-s2.0-85096836688,10.1007/s00004-020-00538-5,The Parigi Mechanism: A Novel 1-DOF Mechanism and Its Application as a Kinetic Reciprocal System (KRS) Adaptive Facade,Nexus Network Journal,Article,unclear,unclear,daylight,include,
2-s2.0-85115123664,10.3390/su131810313,Sustainability‐related parameters and decision support tools for kinetic green façades,Sustainability Switzerland,Article,unclear,simulation,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85103393355,10.1016/j.foar.2021.02.003,Exploring expressive and functional capacities of knitted textiles exposed to wind influence,Frontiers of Architectural Research,Article,unclear,experiment,comfort,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85112492238,10.1088/1755-1315/794/1/012182,Office with Kinetic Sunshading Application on Building Envelopes at Setiabudi,Iop Conference Series Earth and Environmental Science,Conference Paper,unclear,simulation,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85113729756,10.3390/ijerph18168870,The significance of occupants’ interaction with their environment on reducing cooling loads and dermatological distresses in east mediterranean climates,International Journal of Environmental Research and Public Health,Article,unclear,unclear,energy,include,
2-s2.0-85112088754,10.3390/su13168701,SLICE: An innovative photovoltaic solution for adaptive envelope prototyping and testing in a relevant environment,Sustainability Switzerland,Article,origami-deployable,experiment,energy,uncertain_fulltext,PROMOTE: foldable; kinetic
2-s2.0-85107745428,10.1016/j.solener.2021.06.012,Performance prediction of biomimetic adaptive building skins: Integrating multifunctionality through a novel simulation framework,Solar Energy,Article,material-driven,experiment,multiple,include,
2-s2.0-85113210486,10.3390/buildings11080348,"Evaluating the effect of external horizontal fixed shading devices’ geometry on internal air temperature, daylighting and energy demand in hot dry climate. Case study of ghardaïa, algeria",Buildings,Article,mechanical,experiment,multiple,include,
2-s2.0-85104915977,10.1016/j.apenergy.2021.116904,Analysis of the impact of automatic shading control scenarios on occupant's comfort and energy load,Applied Energy,Article,unclear,simulation,multiple,include,
2-s2.0-85109940032,10.3390/ma14143771,Coherent investigation on a smart kinetic wooden façade based on material passport concepts and environmental profile inquiry,Materials,Article,unclear,unclear,energy,include,
2-s2.0-85114738334,10.7480/jfde.2021.2.5331,Blast resilience enhancement of cable-supported Façade utilizing super-elastic shape memory alloy,Journal of Facade Design and Engineering,Article,material-driven,unclear,none,include,
2-s2.0-85105694875,10.1016/j.jweia.2021.104586,Aerodynamic shape optimization of rectangular and elliptical double-skin façades to mitigate wind-induced effects on tall buildings,Journal of Wind Engineering and Industrial Aerodynamics,Article,unclear,experiment,energy,include,
2-s2.0-85103402498,10.1016/j.jweia.2021.104601,A smart façade system controller for optimized wind-induced vibration mitigation in tall buildings,Journal of Wind Engineering and Industrial Aerodynamics,Article,unclear,simulation,comfort,uncertain_fulltext,PROMOTE: morphing
2-s2.0-85104917961,10.7480/jfde.2021.1.5535,PAOSS : Pneumatically Actuated Origami Sun Shading,Journal of Facade Design and Engineering,Article,pneumatic-soft,unclear,multiple,include,
2-s2.0-85104908798,10.7480/jfde.2021.1.5539,Smart Textile Sun Shading Development of Functional ADAPTEX Prototypes,Journal of Facade Design and Engineering,Article,material-driven,prototype,multiple,include,
2-s2.0-85106522002,10.3390/en14071799,Evaluation of building energy performance with optimal control of movable shading device integrated with pv system,Energies,Article,unclear,simulation,energy,include,
2-s2.0-85102298720,10.1016/j.solener.2021.01.059,Optimal control of switchable ethylene-tetrafluoroethylene (ETFE) cushions for building façades,Solar Energy,Article,pneumatic-soft,simulation,energy,include,
2-s2.0-85098986949,10.1016/j.cad.2020.102988,Integrative design and fabrication methodology for bio-inspired folding mechanisms for architectural applications,CAD Computer Aided Design,Article,pneumatic-soft,experiment,none,include,
2-s2.0-85112087786,10.13128/techne-10699,Novel component for smart sustainable. Building Envelopes,Techne,Article,origami-deployable,prototype,energy,include,
2-s2.0-85100081620,10.1016/j.enbuild.2021.110739,"Assessment of control strategy of adaptive façades for heating, cooling, lighting energy conservation and glare prevention",Energy and Buildings,Article,origami-deployable,case-study,multiple,include,
2-s2.0-85098191209,10.1016/j.energy.2020.119557,Optimal design of an Origami-inspired kinetic façade by balancing composite motion optimization for improving daylight performance and energy efficiency,Energy,Article,origami-deployable,experiment,multiple,include,
2-s2.0-85098989371,10.1016/j.jobe.2020.102113,Self-shaping building skin: Comparative environmental performance investigation of shape-memory-alloy (SMA) response and artificial-intelligence (AI) kinetic control,Journal of Building Engineering,Article,material-driven,experiment,multiple,include,
2-s2.0-85124652049,10.52842/conf.ecaade.2021.1.365,Towards a Digital Workflow for Designing Bistable Kinetic Façades,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,compliant,simulation,energy,include,
2-s2.0-85112286642,10.1080/23311983.2021.1960699,A typology of adaptive façades. An empirical study based on the morphology of glazed facades,Cogent Arts and Humanities,Article,unclear,unclear,none,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85101152885,10.15627/jd.2021.5,Biomimetic kinetic shading facade inspired by tree morphology for improving occupant’s daylight performance,Journal of Daylighting,Article,mechanical,simulation,multiple,include,
2-s2.0-85078011441,10.1080/17480272.2020.1713885,Programmable passive actuation for adaptive building façade design using hygroscopic properties of wood,Wood Material Science and Engineering,Article,material-driven,experiment,none,include,
2-s2.0-85121792665,10.2495/sc210331,RESPONSIVE FAÇADES DESIGN USING NANOMATERIALS for OPTIMIZING BUILDINGS' ENERGY PERFORMANCE,Wit Transactions on Ecology and the Environment,Article,material-driven,unclear,energy,uncertain_fulltext,PROMOTE: shape memory
2-s2.0-85105823271,10.35378/gujs.725902,Adaptive architecture based on environmental performance: an advanced intelligent façade (Aif) module,Gazi University Journal of Science,Article,unclear,prototype,multiple,include,
2-s2.0-85106201908,10.1007/978-981-33-6560-5_22,Kinetic Façade Design to Enhance Daylight Performance for Office Building in Malaysia,Lecture Notes in Civil Engineering,Conference Paper,origami-deployable,simulation,daylight,include,
2-s2.0-85129265183,10.23967/membranes.2021.020,SWITCHING TRANSFORMATION FOR SOFT PNEUMATIC ADAPTIVE SHADING,Structural Membranes 2021 10th International Conference on Textile Composites and Inflatable Structures,Conference Paper,pneumatic-soft,unclear,none,include,
2-s2.0-85120804451,,Geometric patterns and dynamics of foldable moduli for adaptive façades,Compdyn Proceedings,Conference Paper,origami-deployable,unclear,unclear,include,
2-s2.0-85081920232,10.1080/00038628.2020.1742644,Design-to-fabrication with thermo-responsive shape memory polymer applications for building skins,Architectural Science Review,Article,material-driven,experiment,none,include,
2-s2.0-85093962315,10.1016/j.buildenv.2020.107385,Design of a passive mechanical system actuated by the nitinol helical springs for shading and sustainable development purposes of the buildings☆,Building and Environment,Article,material-driven,experiment,multiple,include,
2-s2.0-85079216383,10.1080/00038628.2020.1713042,Development of a self-sufficient dynamic façade within the context of climate change,Architectural Science Review,Article,unclear,experiment,multiple,include,
2-s2.0-85105299904,10.18848/2325-1662/cgp/v15i01/71-83,Designing an interactive and energy efficient building facade using photo voltaic panels,International Journal of Architectonic Spatial and Environmental Design,Article,unclear,simulation,multiple,include,
2-s2.0-85111509119,10.46754/jssm.2021.06.011,A Qualitative Study On Airflow Characteristics Across A Wooden Slotted Down Window Panel For Passive Ventilation And Façade Shading Application,Journal of Sustainability Science and Management,Article,material-driven,experiment,multiple,include,
2-s2.0-85107476783,10.1080/09613218.2021.1934377,Thermal pleasure inside solar screened spaces: an experimental study to explore alliesthesia in architecture,Building Research and Information,Article,unclear,experiment,none,include,
2-s2.0-85099293992,10.1080/10420150.2020.1867138,Kinetic envelope soliton in non-thermal quantum pair-ion plasma and Wigner stability,Radiation Effects and Defects in Solids,Article,unclear,experiment,none,include,
2-s2.0-85097823159,10.1007/978-3-030-63403-2_39,The Contribution of Great Circles for Building Retractable Polyhedra,Advances in Intelligent Systems and Computing,Conference Paper,mechanical,prototype,none,include,
2-s2.0-85171538240,10.33586/hya.2019.2882,Forming process of façade panels by curved folding with combined geometric and mechanical optimisation,Hormigon Y Acero,Article,origami-deployable,simulation,none,include,
2-s2.0-85092929162,10.1016/j.eng.2020.07.020,Tall Buildings with Dynamic Facade Under Winds,Engineering,Article,unclear,simulation,energy,include,
2-s2.0-85096679911,10.1016/j.solener.2020.11.003,Evaluation of the effectiveness of a multi-sectional facade with Venetian blinds and roller shades with automated shading control strategies,Solar Energy,Article,unclear,simulation,multiple,include,
2-s2.0-85090706239,10.1016/j.autcon.2020.103397,A fuzzy-logic IoT lighting and shading control system for smart buildings,Automation in Construction,Article,unclear,prototype,daylight,include,
2-s2.0-85089419516,10.1016/j.enbuild.2020.110377,Tunable infrared transmission for energy-efficient pneumatic building façades,Energy and Buildings,Article,pneumatic-soft,simulation,energy,include,
2-s2.0-85091204812,10.1016/j.buildenv.2020.107292,A multi-objective optimization approach for climate-adaptive building envelope design using parametric behavior maps,Building and Environment,Article,material-driven,experiment,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85087678583,10.1016/j.scs.2020.102368,Optimum design of building integrated PV module as a movable shading device,Sustainable Cities and Society,Article,mechanical,unclear,energy,include,
2-s2.0-85094943627,10.1088/1361-665x/abb987,"Design, prototyping, and evaluation of a concept for a shape-changing smart material building surface tile",Smart Materials and Structures,Article,material-driven,experiment,energy,include,
2-s2.0-85084033487,10.1016/j.jobe.2020.101404,Integrating interactive kinetic façade design with colored glass to improve daylight performance based on occupants’ position,Journal of Building Engineering,Article,mechanical,simulation,multiple,include,
2-s2.0-85083000344,10.1016/j.jobe.2020.101397,Prototype of a cyber-physical façade system,Journal of Building Engineering,Article,unclear,prototype,energy,include,
2-s2.0-85086497914,10.1061/(asce)ae.1943-5568.0000419,New Approach in Designing a Kinetic Window Shading Using Optimization Methods,Journal of Architectural Engineering,Article,unclear,simulation,energy,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85090845855,10.3390/polym12091914,Shape memory polymer foam with programmable apertures,Polymers,Article,material-driven,experiment,energy,include,
2-s2.0-85085250686,10.1061/(asce)ae.1943-5568.0000410,Simulation Workflow for Parametric Optimization of Outdoor Comfort-Based Origami Shelter,Journal of Architectural Engineering,Article,origami-deployable,simulation,comfort,include,
2-s2.0-85088433108,10.3389/fbuil.2020.00095,Integrating Ionic Electroactive Polymer Actuators and Sensors Into Adaptive Building Skins – Potentials and Limitations,Frontiers in Built Environment,Article,unclear,experiment,multiple,include,
2-s2.0-85081652116,10.1016/j.jclepro.2020.120708,An experimental study of vertical greenery systems for window shading for energy saving in summer,Journal of Cleaner Production,Article,unclear,experiment,multiple,include,
2-s2.0-85076254654,10.1016/j.foar.2019.10.004,A computational approach for achieving optimum daylight inside buildings through automated kinetic shading systems,Frontiers of Architectural Research,Article,mechanical,simulation,multiple,include,
2-s2.0-85085911472,10.3390/su12114391,Performance evaluation and design of thermo-responsive SMP shading prototypes,Sustainability Switzerland,Article,material-driven,experiment,multiple,include,
2-s2.0-85094812727,10.1109/icsmartgrid49881.2020.9144954,Modeling and Implementation of an Adaptive Facade Design for Energy Efficiently Buildings Based Biomimicry,8th International Conference on Smart Grid Icsmartgrid 2020,Conference Paper,unclear,simulation,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85081115350,10.1016/j.autcon.2020.103151,3D-printed attachable kinetic shading device with alternate actuation: Use of shape-memory alloy (SMA) for climate-adaptive responsive architecture,Automation in Construction,Article,material-driven,prototype,none,include,
2-s2.0-85077903224,10.1002/stc.2463,Explorative study on adaptive facades with superelastic antagonistic actuation,Structural Control and Health Monitoring,Article,unclear,experiment,none,include,
2-s2.0-85083001459,10.1016/j.mechrescom.2020.103503,Mechanics of smart origami sunscreens with energy harvesting ability,Mechanics Research Communications,Article,origami-deployable,simulation,energy,include,
2-s2.0-85101734566,10.5749/envispacplac.12.1.0110,"(In)stable Boundaries–towards Adaptive Architecture: Interrelated Changes in Architecture, Atmosphere and Human Experience",Environment Space Place,Article,unclear,unclear,daylight,include,
2-s2.0-85101809210,10.3390/buildings10020022,Evaluating the Influence of Varied External Shading Elements on Internal Daylight Illuminances,Buildings,Article,mechanical,simulation,daylight,include,
2-s2.0-85072035566,10.1007/s12273-019-0562-0,Comparison of passive cooling techniques in reducing overheating of clay-straw building in semi-arid climate,Building Simulation,Article,unclear,simulation,multiple,include,
2-s2.0-85184991093,,The impact of kinetic facades on building occupants Psychological state and cognitive performance,PLEA 2020 35th PLEA Conference on Passive and Low Energy Architecture Planning Post Carbon Cities Proceedings,Conference Paper,unclear,unclear,unclear,include,
2-s2.0-85085959044,10.1007/978-3-030-33570-0_19,Adaptive skins: towards new material systems,Research for Development,Book Chapter,material-driven,experiment,multiple,include,
2-s2.0-85091338421,10.52842/conf.caadria.2020.1.579,Parametric modelling and simulation of an indoor temperature responsive rotational shading system design,Re Anthropocene Design in the Age of Humans Proceedings of the 25th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2020,Conference Paper,mechanical,prototype,multiple,include,
2-s2.0-85128244716,10.52842/conf.ecaade.2020.1.133,Hygrosensitive Kinetic Facade: A full-scale meteorosensitive shading system based on wood's self-actuated hygroscopic behavior,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,material-driven,experiment,none,include,
2-s2.0-85088049126,10.1016/j.promfg.2020.02.212,Transformable building envelope design in architectural education,Procedia Manufacturing,Conference Paper,unclear,prototype,multiple,uncertain_fulltext,PROMOTE: kinetic
2-s2.0-85085959535,10.52842/conf.caadria.2020.1.035,Thermo-shading: Digital design and additive manufacturing of SMP prototypes,Re Anthropocene Design in the Age of Humans Proceedings of the 25th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2020,Conference Paper,material-driven,experiment,none,include,
2-s2.0-85085729836,10.1117/12.2558972,Aerodynamic mitigation of origami-inspired building structures subjected to hurricane wind loads,Proceedings of SPIE the International Society for Optical Engineering,Conference Paper,origami-deployable,experiment,none,include,
2-s2.0-85104924617,10.52842/conf.acadia.2020.1.360,Adaptive textile facades through the integration of shape memory alloy,Proceedings of the 40th Annual Conference of the Association for Computer Aided Design in Architecture Distributed Proximities Acadia 2020,Conference Paper,material-driven,experiment,energy,include,
2-s2.0-85096044479,10.7480/jfde.2020.1.4700,A novel approach to shape memory alloys applied to passive adaptive shading systems,Journal of Facade Design and Engineering,Article,material-driven,experiment,none,include,
2-s2.0-85090259646,10.4186/ej.2020.24.4.229,Prototype of automated shading device: preliminary development,Engineering Journal,Article,mechanical,prototype,multiple,include,
2-s2.0-85083065546,10.1007/978-3-030-29041-2_35,Moving Forward to 3D/4D Printed Building Facades,Lecture Notes in Mechanical Engineering,Conference Paper,material-driven,unclear,energy,include,
2-s2.0-85128206398,10.52842/conf.ecaade.2020.2.641,Extending the Passive Actuation of Low-tech Architectural Adaptive Systems by Integrating Hygroscopic and Thermal Properties of Wood,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,material-driven,experiment,energy,include,
